embedding_index,document_id,document_preview
290,doc_290,"TÍTULO III
DA COMISSÃO DE ESTÁGIO
CAPÍTULO I
DAS A"
291,doc_291,estágios;                                         
292,doc_292,VIII – exigir do estagiário a apresentação periódi
293,doc_293,"campo de estágio.
CAPÍTULO II
DA CONSTITUIÇÃO DA C"
294,doc_294,§ 2º - Ao coordenador de estágios serão designadas
295,doc_295,I - Convocar e presidir as reuniões da comissão de
296,doc_296,"mantendo-a à disposição da fiscalização;
VII – fi"
297,doc_297,"2008.
Art. 27º – Das decisões do Coordenador de Es"
298,doc_298,"Blumenau-SC, 27 de Novembro de 2023.
Regulamento a"
299,doc_299,"julho de 2021.
Revisão 4 aprovada na 52ª Reunião O"
300,doc_300,Aluno:____________________________________________
301,doc_301,II - Não possuir mais do que 1 (uma) reprovação no
302,doc_302,VI - Ter cursado a quantidade de créditos mínimos 
303,doc_303,realização de mais um estágio Não-Obrigatório (no 
304,doc_304,"Blumenau, ____de __________ de  20____.
__________"
305,doc_305,TÍTULO DO ESTÁGIO:                                
306,doc_306,"3. Criatividade e Iniciativa Apresentada
 
   cap"
307,doc_307,clara e está de acordo com as Normas Técnicas de A
308,doc_308,"Conceito Final (média aritmética): 
Página 1 de 2
"
309,doc_309,"A CARGO DO(A) SUPERVISOR(A)
O(A) aluno(a) concluiu"
310,doc_310,"Conceito Final:        
 
 _
  
__________________"
311,doc_311,"(   ) Com aproveitamento
(   ) Sem aproveitamento
"
312,doc_312,"Conceito Final:        
 
 _
  
__________________"
313,doc_313,Subsídios:
314,doc_314,"NOTA:                    
_______________________
"
315,doc_315,"Currículo ECA 2023/2
Atualizações
●
Departamentali"
316,doc_316,"○
Atividades de extensão em certas disciplinas
○
A"
317,doc_317,"várias de outros departamentos.
●
Precisam cursar "
318,doc_318,"passarem, precisam fazer pré-cálculo ao invés de C"
319,doc_319,"●
Equivalências novas importantes
○
BLU6001 Cálcul"
320,doc_320,"(Mecatrônica, Controle, 
Computação)
■
144 HA em q"
321,doc_321,"○
108 HA em Optativas complementares
Nova organiza"
322,doc_322,"●
Optativas Especializadas em Mecatrônica
○
CAC301"
323,doc_323,"○
CAC3023 Programação Orientada de Objetos
○
CAC30"
324,doc_324,"○
CAC3002 Identiﬁcação e Controle Adaptativo de Si"
325,doc_325,"○
MAT4741 Métodos Numéricos
○
CAC7011 Tecnologias "
326,doc_326,"●
Reorganização das optativas especializadas
○
Mai"
327,doc_327,"●
Disciplinas antigas que serão mantidas
○
BLU7215"
328,doc_328,"Validação de Disciplinas
VALIDAÇÃO DE DISCIPLINAS
"
329,doc_329,Resolução 17/CUn/97 Artigos 97 a 101 e respectivos
330,doc_330,"validação, preenchendo uma relação de compatibilid"
331,doc_331,"autenticada pela Secretaria Acadêmica, assinado pe"
332,doc_332,"1/3
Os documentos deverão estar devidamente carimb"
333,doc_333,"declaração de equivalência;
Para alcançar a equiva"
334,doc_334,"curso da UFSC.
4 Preencher o pedido no PAI (Portal"
335,doc_335,nota igual àquela obtida na instituição de ensino 
336,doc_336,"disciplina a ser validada.
Do comparecimento em au"
337,doc_337,"2/3
A Secretaria Acadêmica informará ao estudante "
338,doc_338,"Imprimir
 Próximo
 Anterior
 Sair
UNIVERSIDADE FED"
339,doc_339,"005/CUn/2001, constante do Processo n.º 23080.0032"
340,doc_340,"Resolução.
Art. 2º Todo aluno regularmente matricu"
341,doc_341,"§ 1º O aluno interessado poderá requerer, a critér"
342,doc_342,Art. 3º O graduando interessado em prestar o Exame
343,doc_343,"efetuada nos primeiros dias de aula, por professor"
344,doc_344,"avaliação escritos e orais, que abrangerão os cont"
345,doc_345,"07/08/2024, 10:08
notes.ufsc.br/aplic/RESOCONS.NSF"
346,doc_346,Art. 6º Do resultado da avaliação será lavrada ata
347,doc_347,"avaliação.
§ 1º No final do segundo semestre letiv"
348,doc_348,https://notes.ufsc.br/aplic/RESOCONS.NSF/eab68f213
349,doc_349,"MINISTÉRIO DA EDUCAÇÃO 
UNIVERSIDADE FEDERAL DE SA"
350,doc_350,"Educação, 
RESOLVE: 
Art. 1º Estabelecer as seguin"
351,doc_351,"BLU6001 
Cálculo I 
108h-a 
MAT2101 e MAT2201 
BLU"
352,doc_352,"36h-a 
BLU6009 ou BLU6010 ou CEE6209 
BLU3302 
Mic"
353,doc_353,"BLU3403 
Sistemas de Automação 
90h-a 
CAC3403 
BL"
354,doc_354,"Sistemas de Controle 
108h-a 
CAC3602 
BLU3603 
Ac"
355,doc_355,"36h-a 
BLU2505 ou CAC2505 
BLU3700 
Metrologia e I"
356,doc_356,"72h-a 
BLU1026 ou BLU2300 ou BLU3703 
ou DET3706 
"
357,doc_357,"72h-a 
CAC7011 
BLU7991 
Língua Brasileira de Sina"
358,doc_358,"72h-a 
CAC3043 
BLU3044 
Tópicos Avançados em Rede"
359,doc_359,"72h-a 
CAC3013 
BLU3014 
Eletrônica de Potência 
1"
360,doc_360,"72h-a 
CAC3003 
BLU3004 
Introdução ao Controle Pr"
361,doc_361,de Graduação em Engenharia de Controle e Automação
362,doc_362,"Assinado digitalmente por Dilceane Carraro .
 
3 
"
363,doc_363,"Controle de 
Processos 
CAC3043 
Sistemas Não-Line"
364,doc_364,Rol de Disciplinas Optativas Especializadas em Mec
365,doc_365,"CAC3042 
Eletrônica Avançada 
72h-a 
4h-a 
Op 
CAC"
366,doc_366,"Rol 
Código 
Disciplina 
CH 
Total 
CH 
Semanal 
T"
367,doc_367,"CAC3045 
Engenharia de Software 
72h-a 
4h-a 
Op 
"
368,doc_368,"Inteligência Artificial 
72h-a 
4h-a 
Op 
CAC3202 "
369,doc_369,Optativas Complementares do currículo 2014.1 do Cu
370,doc_370,"Complementa 
DET1813 
Microeconomia 
36h-a 
2h-a 
"
371,doc_371,"Requisito 
Equivalência 
Disciplinas Optativas 
Es"
372,doc_372,"como suas disciplinas, pertencente ao currículo 20"
373,doc_373,"Assinado digitalmente por Dilceane Carraro .
 
5 
"
374,doc_374,Incluir a menção: “Disciplinas Optativas – 72h-a” 
375,doc_375,Art. 13º Incluir a menção: “Disciplinas Optativas 
376,doc_376,aprovação a disciplina BLU8001 – Microeconomia até
377,doc_377,cumprir uma carga horária de 792h-a em disciplinas
378,doc_378,"da UFSC, com efeitos a partir do segundo semestre "
379,doc_379,"Programa ANDIFES de Mobilidade
Acadêmica
As Instit"
380,doc_380,realização de estudos por até 2 semestres em outra
381,doc_381,"de mobilidade.
O aluno participante do programa te"
382,doc_382,"de 2024.
Acesse aqui o Formulário de Inscrição, so"
383,doc_383,"1/2
Em caso de dúvida, favor entrar em contato com"
384,doc_384,"de 2024.
Instituições Participantes do Programa
Ac"
385,doc_385,"Exame de Aproveitamento
Extraordinário de Estudos
"
386,doc_386,Você deve anexar ainda seu histórico escolar e doc
387,doc_387,"Cursos pelo link  abaixo, e optar pelo serviço “ R"
388,doc_388,"Contatos
Sede Administrativa (Bloco C)
Rua João Pe"
389,doc_389,"Direção administrativa do Campus: 
26/06/2024, 21:"
390,doc_390,"CURSOS EXTRACURRICULARES DE IDIOMAS 2024.2
Prezada"
391,doc_391,"disponibilizados para as inscrições, bem como os p"
392,doc_392,"Cronograma Cursos Extracurriculares 2024.2 
Reforç"
393,doc_393,">>>Clique aqui para preenche o Formulário.
O NuPe "
394,doc_394,"07/08/2024, 10:10
Núcleo Pedagógico UFSC Blumenau
"
395,doc_395,"** Atividade sem certificação.
PIAPE DIVULGA CRONO"
396,doc_396,intermoleculares e propriedades associadas. Estrut
397,doc_397,Pearson. Forças intermoleculares: líquidos e sólid
398,doc_398,"Divulgamos 
o 
resultado 
provisório 
do 
processo"
399,doc_399,seletivo para bolsa de  extensão (Edital 001/2024 
400,doc_400,Este documento tem a intenção de documentar os pro
401,doc_401,"plina_Ensino_Legisla%C3%A7%C3%A3oUFSC.pdf
Lista em"
402,doc_402,"são:
1. Cumprir 792HA em optativas sendo que:
a. 1"
403,doc_403,d. 108HA de Disciplinas Optativas Complementares d
404,doc_404,"um dos alunos possa ser avaliada.
2. A coordenação"
405,doc_405,período de matrícula e ajustes de acordo com o cal
406,doc_406,"comunicado ao aluno.
3 - Choque de horário
Não há "
407,doc_407,"●
2ª etapa de matrículas online (ajuste)
●
Pedidos"
408,doc_408,"carga horária fora do máximo/mínimo
4.1 - Dúvidas "
409,doc_409,"tem que passar pelo colegiado.
Sugiro olhar as dis"
410,doc_410,algumas turmas ou até mesmo abrir novas turmas. É 
411,doc_411,"abrir mais turmas, porém, como trabalhamos com est"
412,doc_412,print da tela atual do CAGR do cadastro de turmas.
413,doc_413,"Prezados alunos,
Gostaríamos de reforçar algumas i"
414,doc_414,vagas nas turmas escolhidas. Caso ocorra qualquer 
415,doc_415,"Caso o aluno tenha inserido somente o Plano 1, o C"
416,doc_416,"Equivalências:
BLU6106 - Física I
CEE6106 - Física"
417,doc_417,"BLU8001 - Microeconomia
DET1813 - Microeconomia
Pa"
418,doc_418,2) 144 horas-aula em disciplinas Optativas em Enge
419,doc_419,"(OECL). Ou seja, o aluno pode fazer qualquer disci"
420,doc_420,"396 horas), essas horas adicionais em disciplinas "
421,doc_421,"são oferecidas na UFSC Blumenau.
Em caso de dúvida"
